response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
023,5_Always,5_Always,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,the interactivity level and the videos,the project evaluation technique,knowledge level and experience
024,5_Always,5_Always,5_Always,4_Often,5_Always,4_Often,5_Always,4_Often,5_Always,the best about this course is amazing interaction with students as well as professor; watching videos to help you understand better about the course; even helps my deep thinking about interfaces,more videos to be seen; quizzes to help interact more in class; due dates of assignments to be a little later,the greatest strengths are: everything posted in the website; he is more interactive with the students; he knows how to be more specific at a particular task he is doing; he is a kind and generous person
025,3_Sometimes,4_Often,3_Sometimes,4_Often,4_Often,4_Often,5_Always,2_Rarely,5_Always,,,
026,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"its about understanding many interfaces and knowing about designs, which haven't heard before","maybe projects to implement them, so to have scope for new learning","Dr. Hepting is a wonderful person, his strengths are positiveness, always maintain a welcome smile and never hesitates to answer a question"
027,5_Always,5_Always,4_Often,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,digressions,,knowledge application to external source material
028,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the instructor's passion for the subject and engagement,for a user interface designer to visit the class and talk about their process,ability to make the class fun and engaging
029,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"I love software courses, and this course is more towards team work and love to get knowledge about team work, how to deal with real life situations and this course is best in this","in my point of view, I would say nothing, I found everythign as a gold to me",he always gave his best and gave students chance to learn more and always understand the problems if we face any regarding this course
030,5_Always,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,it is very relatable to our everyday life and helps direct our attention to things about design that we actually know but never really notice or think about,I would like to do more activities in class that give us more opportunities to become better at finding crucial details in designing process,"his respect, knowledge and ability to guide class discussions"
031,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,thinking out of the box; the prof encourages and challenges to think differently and also look at the alternatives,,his ability to observe the things around him; the instructor brings in real life concrete examples to explain the course and make it interesting
032,4_Often,4_Often,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,the interaction in the classroom; discussion forum in URcourses website,the dates of the assignments are very close enough,explains the topics with everyday life's examples; makes the class more interactive
033,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,the best thing is how easy to understand this course is; it is a fun and interesting course,"just to have clearer expectations from the assignments, which are not clear at times","his in-depth knowledge about the course, helping nature, patience and willingness to discuss anything"
034,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course is very interesting as professor explain all the things in well-defined manner,nothing,"has good knowledge about the course, always discuss all the things in good way, always helping to understand assignments and class notes"
035,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,the way it brings and refers to actual real-world examples and systems,nothing!,presenting ideas and invoking appropriate questions within the students
036,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,learning good and bad interface designs and gaining better knowledge towards usability goals,no comment,encouraging students and explanation
037,5_Always,2_Rarely,2_Rarely,4_Often,5_Always,4_Often,5_Always,4_Often,4_Often,encourages thinking about design of daily objects,theoretical concepts,clear communication
038,4_Often,4_Often,3_Sometimes,4_Often,5_Always,5_Always,5_Always,4_Often,4_Often,,I would like to suggest to change the idea of individual and group assignments,smile
039,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interactive meeting sessions,need some time between assignments,knowledge and language
040,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the way professor teaches and emphasizes on thinking out of the box,nothing,communication skills; well-prepared for the class; friendly with the student; I will recommend this course to my friends
041,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the concepts of HCC; as a software developer it is required to know about usability and experience of the user,,communication and in-depth knowledge about this subject
042,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
043,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"easy to learn, understand, interesting",nothing,"knowledge, very polite and friendly"
044,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the prof is chill,nothing,his coolness
045,3_Sometimes,3_Sometimes,3_Sometimes,4_Often,4_Often,2_Rarely,5_Always,3_Sometimes,5_Always,,,
046,3_Sometimes,4_Often,3_Sometimes,3_Sometimes,4_Often,5_Always,5_Always,5_Always,5_Always,,,
047,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interesting in each class,assignment due dates are very near; maybe gap between the assignment is encouraged,"communication, smile"
048,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,,,
049,3_Sometimes,3_Sometimes,3_Sometimes,4_Often,5_Always,3_Sometimes,5_Always,4_Often,5_Always,interactive,nothing,encourages students to think
050,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the instructor,nothing,his smile
051,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,occasional videos,nothing,funny and interactive
052,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the interaction with the students,nothing so far,evaluation process is very good
053,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,,,
054,5_Always,5_Always,1_Never,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,the course content,,smile and way of teaching (methodology) except time consuming
055,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,showing graphical view and videos what explained in the class,increase course class time to 2 hours,well-preparedness and communications
056,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,way of project handling,,knowledge towards the course
057,5_Always,5_Always,5_Always,1_Never,5_Always,5_Always,5_Always,4_Often,5_Always,"the screenshots provided after each lecture, this enables student to make references",,"the instructor is well-organized, he arranges lecture contents on URcourses and this makes it easy to navigate"
