response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
021,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,this course not focuses only on software or computer and also focus on other devices and machine or can be applied to practical things except technology,nothing,best utilization of URcourses by providing forums for student. Also keeping all lectures recorded with images on URcourses
022,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"the ability to think outside the box, creatively evaluate different situations and think up scenarios",nothing for now,knowledge about several fields
023,4_Often,4_Often,4_Often,4_Often,5_Always,5_Always,4_Often,4_Often,4_Often,,,
024,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,is practical more than theory-oriented,don't feel any necessity of modification to class,his teaching philosophy of challenging students to think out-of-the-box and develop
025,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"videos, discussions, and professor's way of teaching",nothing,his perspective
026,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,understanding the different approaches of design; how to be more creative and why,more discussion for cognitive pyschology; more recent example and studies rather than old,encourages for a good discussion/brainstorm; calmly listen to the student question and help him to deeply assess it
027,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,it is interesting and practical,nothing,he is awesome
028,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it is not theory-oriented but it is practical,don't feel any changes for this course,he explains the topic clearly and have discussions at the end
029,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the materials and instructor guidance,nothing,he explains thoroughly each point
030,4_Often,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,discussions,be more clear and concise on materials,fostering discussion
031,4_Often,3_Sometimes,3_Sometimes,3_Sometimes,4_Often,4_Often,4_Often,3_Sometimes,3_Sometimes,,the online is full of outdated things such as dates,
032,3_Sometimes,3_Sometimes,4_Often,4_Often,4_Often,5_Always,5_Always,2_Rarely,4_Often,learning about design is fun,,"respectful, relays the material well, generous. He tries to stimulate discussion but loses the room easily"
033,4_Often,3_Sometimes,3_Sometimes,2_Rarely,4_Often,4_Often,5_Always,4_Often,5_Always,the hands on experience on real services,nothing pertinent,interaction with students
034,4_Often,4_Often,3_Sometimes,5_Always,5_Always,5_Always,5_Always,4_Often,4_Often,it is very free form. I like the discussion and the use of different teaching aids,allowing less off-topic discussion. Allowing comedians to have the floor instead of trying to keep everyone on track,dedication to the topic and respect for the students. Never unwilling to have a discussion
035,4_Often,3_Sometimes,3_Sometimes,3_Sometimes,5_Always,3_Sometimes,5_Always,5_Always,5_Always,good discussions happen; interesting content,"more clear assignments with more explanation, especially with marking schemes",starting discussions; thinking differently to give different perspectives
036,4_Often,4_Often,4_Often,4_Often,5_Always,4_Often,5_Always,4_Often,4_Often,it really gives perspective on what good design is and how to create it,more modern examples,provides interesting thoughts and topics
037,4_Often,3_Sometimes,3_Sometimes,3_Sometimes,5_Always,3_Sometimes,5_Always,5_Always,5_Always,the class discussion,nothing,stimulating class discussion and involving students in class
038,4_Often,5_Always,3_Sometimes,5_Always,5_Always,5_Always,5_Always,3_Sometimes,5_Always,,have class end on time more often,good vocabulary
039,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,the occasional video demonstration. Impossible to comprehend interaction design ideas without watching a video of the ideas,nothing,the ability to maintain the grasp on students' attention
040,5_Always,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,the class discussion and the online forum,nothing,starting a good discussion; caring for the students
041,4_Often,4_Often,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,"no piazza. That is amazing. No, really! That is hilarious. We use URcourses and your site. That's it! I like it!","it is just as good as it is. Just don't break it, okay??",passion in HCI; critique of interfaces
042,4_Often,5_Always,4_Often,4_Often,5_Always,4_Often,5_Always,3_Sometimes,4_Often,the subject matter is interesting and relevant,"more time on subject matter, less time going over assignments and evaluation; going through more design from 'scratch' rather than always critiquing",good at finding flaws in designs and encouraging critique. Knowledgeable on the subject
043,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,4_Often,5_Always,content,assignments,clear understanding of the course content
044,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it enhances our creative thinking and makes us aware of the bad designs and ways to improve them,it could have been more practical based,he encourages participation not only in class but also on UR Self Serve / URcourses
045,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
046,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,5_Always,4_Often,4_Often,incorporates real-world examples of design,,fun environment for discussion of the material
047,4_Often,3_Sometimes,3_Sometimes,4_Often,4_Often,5_Always,5_Always,3_Sometimes,2_Rarely,some aspects can be fun / interesting,more involved activities / smaller classes,
048,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it correlates to the real time technology which makes interesting and easy to understand,there would be no changes that can be done for the course,the level of patience in elaborating the every single question asked by student and has a great knowledge about updating technology
049,4_Often,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,4_Often,this course gives an insight into interface design,presentation or slide show could be included,the instructor is clear in his way of teaching and he backs it up with real life examples
050,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"the class is interactive, real world examples help understand problem better. Asks for our opinion is good.",weight of midterm should be more than 10%,makes the class participate in lecture and examination questions
