response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
014,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,the step by step process in completing the final project,nothing,interacting with students online; blog
015,5_Always,5_Always,4_Often,5_Always,,3_Sometimes,5_Always,5_Always,3_Sometimes,interesting topics,nothing,ability to make us think out of the box
016,4_Often,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,4_Often,,,
017,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,I met cool people in my group project!,the final project for individual and group being due at the same time was difficult,very patient and empathized with students
018,4_Often,4_Often,4_Often,4_Often,5_Always,4_Often,5_Always,5_Always,3_Sometimes,no definitions,N/A,personal experience on web design and development
019,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,4_Often,TED talks,group assignments / readings / making a video,knowledge on subject
020,4_Often,4_Often,3_Sometimes,4_Often,5_Always,3_Sometimes,4_Often,4_Often,3_Sometimes,lots of interesting videos,maybe less number of assignments that are worth more,knows current events and empathetic to students
021,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course has helped me to understand the basic concepts of HCI and has greatly intrigued me to study further the different aspects of HCI,I would like to increase the span of the lecture timings more,Dr. Hepting has helped us to understand the complex concepts of HCI in a very easy manner with real life examples and online videos. These have helped us to gather a thorough understanding of the course
022,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,out of box thinking,False,innovative thinking
023,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the interactiveness in the class,,he is very clear with instructions
024,3_Sometimes,3_Sometimes,2_Rarely,2_Rarely,4_Often,4_Often,4_Often,3_Sometimes,2_Rarely,I thought the assignment was fun and interesting,the assignments were generally slightly vague and hard to interpret,his ability to answer student questions in a timely and effective manner
025,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,his indepth knowledge,nothing,his application of knowledge and no nonsense attitude
026,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,"mostly, viewing design and how to create it is what I liked the most",the group project should have been real-time implementation of hi-fi prototype and also there should be testing on that instead of paper review,friendly and explains clearly with real-time examples
027,3_Sometimes,4_Often,2_Rarely,4_Often,3_Sometimes,3_Sometimes,5_Always,2_Rarely,3_Sometimes,the large group assignment to redesign a webpage was interesting,having a seminar style course in Computer Science is a challenge. Many students do not have English as a first language so getting discussions going was hard,he seems genuinely interested in the topic
028,5_Always,4_Often,5_Always,4_Often,5_Always,4_Often,5_Always,4_Often,5_Always,the nature of the instructor to encourage students in participation,"class-strength, too crowded",participation towards students
029,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,it's fun to be a part of this class. Lots of learning towards user centric design,nothing,he involves everyone in the class
030,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"I enjoyed the varying content as it was engaging and brought new perspectives to CS, and I enjoyed Dr. Hepting's presentation style and respect for students. Also continuous activities like website modification","I would like more class activities like the card sorting or board drawing of interfaces, since it promoted participation from all, even nervous people","Dr. Hepting is great at finding interesting and unique material, designing interesting tasks and assignments - like ongoing web modification, and respecting and appreciating student discussion and feedback"
031,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the way of thinking towards different system,nothing,his way of thinking and his sense of humour
032,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,4_Often,,,
033,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,he is kind and he wants everyone to learn and do well
034,5_Always,5_Always,5_Always,4_Often,5_Always,4_Often,5_Always,4_Often,5_Always,,,
035,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,this course is very interactive and can gain a lot of knowledge from discussions in the class,"the course is very simple, interactive, and helpful. I would prefer to choose a presentation slides which can be more helpful for the students while preparing for their exams","instructor's greatest strengths are patience, interaction with the students, encouraging"
036,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,"I love the way this course is laid out with the step by step approach in doing project, redesigning and discussing about various topics. Since this course is totally new to me I enjoyed the concepts and the class too",as of now I think there is no need of changes for the course. Everything is on good front right now,his patience to answer and teach the concepts and questions that we ask in class. He is my favourite professor of all time. He answers all of my questions. He is well prepared for class
037,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,assignments used in this course are real-time scenarios,midterm marks can be integrated to URcourses,making students collaborate with one another using discussion forums
038,5_Always,4_Often,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,course content,easy grading scheme,clear instructor; motivates discussions
039,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,active participation,number of assignments of group task with different groups,well-prepared
040,3_Sometimes,1_Never,2_Rarely,1_Never,1_Never,1_Never,5_Always,1_Never,1_Never,that I learned about design thinking,our instructor's communication is not clear enough,he clearly knows about interface design
041,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it is very interactive course it is related to everyday life. The best part is that we have to thinnk out of box,the course is perfect. I would like not to change anything,greatest strength is the knowledge about the course and the way he thinks
042,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
043,4_Often,4_Often,3_Sometimes,3_Sometimes,5_Always,5_Always,5_Always,5_Always,5_Always,practical knowledge which can be applied to different courses,,the way teaches encourage participation
044,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,inclusion of student on and off lectures and availability of materials in a central repository created by professor,"all good from professor, but the class feels a bit crowded at times",his perfection in domain knowledge and inclusion of videos in all lecture for simplification and fun in understanding
045,5_Always,4_Often,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,class participation and materials,can give less assignments,experience and preparation for the class
046,4_Often,5_Always,4_Often,4_Often,5_Always,4_Often,5_Always,4_Often,4_Often,"the topics tht we covered, mainly how to design an effective website",less group work or making a member the leader so there can be more focus with what needs to be done,his enthusiasm with the course material and applying it to his own website
047,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the interaction of the instructor,I would suggest that tasks fir assignment should be minimal,communication
048,5_Always,4_Often,5_Always,5_Always,4_Often,3_Sometimes,5_Always,5_Always,5_Always,the lectures were informative,the teacher could speak faster,creating an interactive class
049,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the qualitative answers of the questions responded from professor,,supportive; gives feedback; allows everyone to participate
050,4_Often,4_Often,5_Always,4_Often,,4_Often,5_Always,5_Always,5_Always,everything,"nothing, everything is perfect","as mentor, the way of teaching"
051,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,the instructor provides freedom of choice to students,,"communication, effective content management, providing required material, utilizing U of R's resources, and many more"
052,4_Often,5_Always,3_Sometimes,5_Always,5_Always,3_Sometimes,5_Always,4_Often,5_Always,"watching lots of cool video on designing, etc., group projects, video project is fun, interactive class, no right or wrong answers","more quality content, proper slides as professor's handwriting is illegible","polite, helpful, respectful, encouraging, lively, humourous"
053,5_Always,3_Sometimes,4_Often,3_Sometimes,5_Always,5_Always,5_Always,5_Always,5_Always,class participation and human centric discussions,,
054,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interaction with the professor,due dates are very close,experience and interaction
055,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it gives us a more knowledge,I don't think to improve anything,communication
056,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"course content, assignments, exam questions - according to study in class",assignments not till end. Marking should be done early (taking a lot of time to get marks),"polite, knowledgeable, strong command of subject"
057,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,practical work on the project,everything is good,"knowledge, way of explanation"
058,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"learnt many thing that are important for designing 'anything' by keeping humans feeling, emotions in mind",this course is already the best course,professor is very polite and happy person that creates a great learning environment
059,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the course content and how he relates it to his own work,,
060,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,this course is based on logical and analytical thinking,nothing,he is always well prepared and explained very clearly
061,5_Always,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,assignments and grouptasks -> relevant and very productive,course material can be made available in documents,organizing the tasks to reach a point like organizing the assignments and clear instructions of what to do in it
062,3_Sometimes,3_Sometimes,2_Rarely,3_Sometimes,5_Always,4_Often,5_Always,5_Always,5_Always,"recognition rather than recall, discussion",very slow paced,"encouraging students, give them hope, make the class enjoyable"
063,5_Always,5_Always,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,"I did not expect this course to be this informative and effective, it certainly uses more practical approach to make us learn things and helps to see the real-world interface design","longer lectures, just kidding",Dr. Hepting is a great guy. He often leaves you open with your ideas rather than putting you on a road which is followed by millions! Gem Person!
064,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it's very easy to follow the course. All classes are easy to revise from the website,assignments are graded after a long time from the submission. Quick grading will be very helpful,the instructor gives positive reinforcement to his students and encourage them in discussions. The nicest teacher I ever had. Thank you Sir
065,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the website and the content on the website,nothing,"organized, well-mannered, and always prepared"
066,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,it helps to engage real people and get user's perspective from testing results,nothing. Everything is good,instructor's knowledge and providing it to students is the greatest strength
067,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,,,
068,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the best thing about the course is the content itself. Every programmer/designer should have good knowledge about the interactions between human and computers,all good,his efforts in and will to make everyone learn and participate
069,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,assignments are good and the class is more of practical knowledge than theoretical,too many assignments,communicates well about what he wants to convey
070,5_Always,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,it gave me the full understanding of what it takes to be a good interface designer. I never knew it was a career to pursue. Now I know.,the syllabus has to be defined theoretically. By this I mean the different HCI content should be covered step by step according to the book used for the course,he is very respectful; he encourages team work and team spirit; he enjoys the course he is teaching and was able to impact this on his students
071,5_Always,4_Often,5_Always,5_Always,4_Often,4_Often,5_Always,5_Always,4_Often,course has given brief knowledge about how user interact with product/website/app,everything is on point and perfect,he always on time and never miss single class/meeting
072,5_Always,4_Often,4_Often,4_Often,4_Often,3_Sometimes,5_Always,4_Often,5_Always,creativity in designing a thing,implemenation of a application,"patience, in-depth knowledge of HCI"
073,4_Often,3_Sometimes,4_Often,4_Often,5_Always,4_Often,5_Always,5_Always,4_Often,it's very interactive,maybe the delivery at the beginning of the course,very approachable
074,4_Often,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,combination of theory and real-time project,N/A,encouraging students; deep knowledge of subject
075,5_Always,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,the assignment and project,no recommended,explanation and designing of course
076,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,,,
077,4_Often,3_Sometimes,4_Often,2_Rarely,5_Always,4_Often,5_Always,4_Often,4_Often,it was a fun course for a 400 elective,maybe make it more clear how a topic fits into the overall course. I spent most of the time wondering what I just learnt fits into a larger picture,he is very approachable
